pdb_id,sample,best_plddt,random_plddt,delta_plddt_to_best_model
2qp2,pMPNN,46.47480263157895,42.60894736842105,-3.865855263157904
2qpn,pMPNN,65.76218867924528,40.80392452830189,-34.95826415094339
2qud,pMPNN,73.81882812500001,61.027890625,-22.790937500000013
2r31,pMPNN,63.39697872340426,51.96204255319149,-11.434936170212772
2rb6,pMPNN,94.66173076923074,94.3278846153846,-0.3338461538461388
2rmr,pMPNN,87.90591549295776,87.12408450704227,-0.7818309859154908
2w3s,pMPNN,80.67136752136751,78.06119658119658,-2.6101709401709314
2w40,pMPNN,63.43224409448818,50.82968503937008,-22.602559055118107
2wp8,pMPNN,69.14626666666668,43.64686666666666,-35.499400000000016
2x4k,pMPNN,83.89295081967212,78.86459016393444,-5.028360655737686
2x9v,pMPNN,50.04659176029962,46.82760299625468,-3.218988764044937
2xau,pMPNN,83.39121212121212,77.1710606060606,-6.220151515151514
2xol,pMPNN,94.22204819277108,93.42644578313254,-0.7956024096385477
2xvm,pMPNN,50.718629441624365,38.30055837563452,-22.418071065989842
2xw6,pMPNN,88.734921875,46.647578125,-52.087343749999995
2yc4,pMPNN,79.0910101010101,75.7360101010101,-3.355000000000004
2yjt,pMPNN,85.5935294117647,77.96241176470589,-7.631117647058815
2yz1,pMPNN,79.30956140350878,77.98324561403507,-1.3263157894737105
2yzi,pMPNN,85.41628787878788,82.20045454545453,-3.21583333333335
2zad,pMPNN,75.32072398190046,61.00199095022626,-24.3187330316742
2zfy,pMPNN,82.4770925110132,50.47127753303965,-42.00581497797355
2zkm,pMPNN,84.7560655737705,78.60426229508197,-6.151803278688533
2zyq,pMPNN,59.05854961832061,36.8387786259542,-32.21977099236641
3b0g,pMPNN,50.9019298245614,42.961695906432745,-7.940233918128655
3bmv,pMPNN,91.4029213483146,85.30640449438202,-6.0965168539325845
3bpv,pMPNN,89.36868613138687,70.0736496350365,-29.295036496350363
3bq9,pMPNN,68.58128712871286,60.630099009901,-7.9511881188118565
3br0,pMPNN,76.21365217391305,66.10652173913043,-10.107130434782619
3brs,pMPNN,70.3875,64.41971014492752,-5.967789855072482
3bzc,pMPNN,78.50288888888888,76.23655555555554,-2.2663333333333355
3c07,pMPNN,75.9313698630137,61.96191780821917,-23.96945205479453
3c20,pMPNN,79.492,75.7912,-3.700800000000001
3c57,pMPNN,91.17019607843136,87.39725490196079,-3.7729411764705674
3c8c,pMPNN,89.64634453781512,64.76310924369747,-34.883235294117654
