pdb_id,model,plddt,delta_to_best
2x9v,3,29.94992509363296,-6.477041198501869
2x9v,4,33.038202247191016,-3.3887640449438123
2x9v,2,36.42696629213483,0.0
4b8r,4,34.492419700214136,-4.133062098501064
4b8r,1,30.47456102783726,-8.150920770877939
4b8r,2,38.6254817987152,0.0
4b8r,3,33.72049250535332,-4.904989293361879
4b8r,5,32.79967880085653,-5.825802997858666
1fjg,3,34.878269230769234,-2.1184134615384593
1fjg,1,36.996682692307694,0.0
1fjg,4,34.425096153846155,-2.5715865384615384
1fjg,5,35.48427884615384,-1.5124038461538518
1fjg,2,36.21625,-0.7804326923076914
1aqz,5,27.500671140939595,-7.004362416107384
1aqz,3,30.259328859060403,-4.245704697986575
1aqz,1,31.69395973154363,-2.8110738255033496
1aqz,4,29.13798657718121,-5.367046979865769
1aqz,2,34.50503355704698,0.0
1j6o,5,43.5977734375,-5.531601562500001
1j6o,2,49.129375,0.0
1j6o,3,35.07046875,-14.05890625
1j6o,1,36.219921875,-12.909453125000006
1j6o,4,41.50015625,-7.62921875
3p8k,5,36.4025,-13.634615384615387
3p8k,1,39.70019230769231,-10.336923076923078
3p8k,4,45.5645,-4.472615384615388
3p8k,3,36.16530769230769,-13.871807692307698
3p8k,2,50.03711538461539,0.0
6w9g,3,52.75454545454546,-4.383006993007001
6w9g,1,50.6658041958042,-6.471748251748259
6w9g,5,50.24524475524475,-6.8923076923077105
6w9g,2,54.21503496503497,-2.9225174825174918
6w9g,4,57.13755244755246,0.0
1j8u,5,34.58182410423453,-3.1262866449511364
1j8u,1,34.62908794788274,-3.0790228013029264
1j8u,2,37.708110749185664,0.0
1j8u,4,33.772964169381105,-3.9351465798045595
1j8u,3,30.589055374592835,-7.119055374592829
2fr1,5,47.97,0.0
2fr1,1,35.30928229665072,-12.660717703349277
2fr1,3,33.3778947368421,-14.592105263157897
2fr1,2,38.25435406698565,-9.71564593301435
2fr1,4,38.0545933014354,-9.915406698564595
6krw,5,26.41584967320261,-7.301993464052291
6krw,1,30.14101307189543,-3.5768300653594736
6krw,4,31.16052287581699,-2.557320261437912
6krw,3,28.402908496732028,-5.314934640522875
6krw,2,33.7178431372549,0.0
1zyb,1,32.354897959183674,0.0
1zyb,2,27.790544217687074,-4.5643537414966
1zyb,5,25.608027210884355,-6.746870748299319
1zyb,4,28.456666666666667,-3.898231292517007
1zyb,3,27.31244897959184,-5.0424489795918355
5odu,3,35.134297520661164,-0.46289256198346607
5odu,4,32.517851239669426,-3.079338842975204
5odu,1,35.59719008264463,0.0
5odu,2,32.92801652892562,-2.6691735537190127
5odu,5,33.1099173553719,-2.4872727272727317
1t7s,2,84.64387596899225,0.0
1t7s,1,81.98682170542635,-2.6570542635658967
1t7s,3,56.358139534883726,-28.28573643410852
1t7s,4,83.33798449612405,-1.305891472868197
1t7s,5,84.56899224806202,-0.07488372093023088
3g0m,5,44.78326086956522,0.0
3g0m,1,40.97231884057971,-3.810942028985508
3g0m,4,42.678405797101455,-2.1048550724637636
3g0m,3,37.58289855072464,-7.200362318840575
3g0m,2,40.17057971014493,-4.6126811594202906
1vdr,1,31.43579617834396,-6.406242038216558
1vdr,3,30.03942675159236,-7.802611464968159
1vdr,5,30.808662420382166,-7.033375796178351
1vdr,4,31.87764331210192,-5.964394904458597
1vdr,2,37.84203821656052,0.0
1jz8,3,29.063356164383563,-6.288458904109589
1jz8,2,32.47688356164384,-2.8749315068493146
1jz8,1,32.07157534246575,-3.2802397260274034
1jz8,5,35.35181506849315,0.0
1jz8,4,33.79335616438356,-1.5584589041095924
2nsp,5,35.25345029239766,-1.8329532163742712
2nsp,4,33.85543859649123,-3.2309649122806974
2nsp,2,37.08640350877193,0.0
