,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
HBI_b_45,78,1.771707534790039,1.596626043319702,0.0087084909901022,0.3102637231349945,1.0,7.356386661529541,0.0,1.596626043319702,[0],3.635842800140381,0.9176736548542976,0.7770215272903442,3,295.71051025390625,1.0,0.0,1.0,0.9188639521598816,1.0,0.9552,0.9552,0.6811074469677635,HBI_b_45,WSB
HBI_b_46,79,1.785352110862732,1.5856584310531616,0.0114547507837414,0.3084375560283661,1.0,7.3892717361450195,0.0,1.5856584310531616,[0],4.037736356258392,0.9029220342636108,0.7668482065200806,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.8933917880058289,1.0,0.9576,0.9576,0.6630462069561661,HBI_b_46,WSB
HBI_b_49,80,1.5511280298233032,1.6005276441574097,0.0081110196188092,0.3105620443820953,1.0,7.792874336242676,0.0,1.6005276441574097,[0],3.125161699950695,0.9403885081410408,0.8137601017951965,3,295.71051025390625,1.0,0.0,1.0,0.8958797454833984,1.0,0.9564,0.9564,0.7318857198542081,HBI_b_49,WSB
HBI_b_50,81,1.4312740564346311,1.6437225341796875,0.0080645000562071,0.3196494877338409,1.0,8.226425170898438,0.0,1.6437225341796875,[0],3.0227327048778534,0.9446923173964024,0.833482027053833,3,295.71051025390625,1.0,0.0,1.0,0.9983364343643188,1.0,0.9605,0.9605,0.7562823969737299,HBI_b_50,WSB
HBI_b_53,82,1.883315920829773,1.7224222421646118,0.01329848729074,0.3624559044837951,1.0,7.20290470123291,0.0,1.7224222421646118,[0],4.324619859457016,0.8896386325359344,0.7484904527664185,3,295.71051025390625,1.0,0.0,1.0,1.0569789409637451,1.0,0.9396,0.9396,0.6256665070842536,HBI_b_53,WSB
HBI_b_55,83,1.8037488460540767,1.509200930595398,0.0121188731864094,0.2921344935894012,1.0,7.614406585693359,0.0,1.509200930595398,[0],3.703706510365009,0.9193653985857964,0.7726322412490845,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.7328097224235535,1.0,0.9687,0.9687,0.6880979772301486,HBI_b_55,WSB
HBI_b_56,84,1.8009612560272217,1.6412973403930664,0.0114138042554259,0.3338813483715057,1.0,7.397134780883789,0.0,1.6412973403930664,[0],3.933624297380448,0.9060873687267303,0.7636752128601074,3,295.71051025390625,0.9908256880733946,0.0,1.0,1.2251356840133667,1.0,0.9342,0.9342,0.646425728839049,HBI_b_56,WSB
TMB2.1,38,1.5294846296310425,1.6524173021316528,0.0127638801932334,0.4072703719139099,1.0,7.732742309570312,0.0,1.6524173021316528,[0],3.638960175216198,0.9327265545725822,0.8172009587287903,3,333.691650390625,0.8699186991869918,0.0,1.0,1.3567867279052734,1.0,0.9391,0.9391,0.715805530019639,TMB2.1,TMB
TMB2.12,32,1.6995426416397097,1.4235833883285522,0.0130634121596813,0.316689133644104,1.0,6.884740352630615,0.0,1.4235833883285522,[0],4.462075844407082,0.899144858121872,0.7789387106895447,3,333.691650390625,0.8699186991869918,0.0,1.0,0.9817969799041748,1.0,0.9585,0.9585,0.6713130189434783,TMB2.12,TMB
TMB2.14,33,1.3898727893829346,1.3069260120391846,0.0074111521244049,0.2730827629566192,1.0,8.380451202392578,0.0,1.3069260120391846,[0],3.339485220611095,0.9438159801065922,0.8398256897926331,3,333.691650390625,0.8699186991869918,0.0,1.0,0.6493865251541138,1.0,0.9767,0.9767,0.7741723734081721,TMB2.14,TMB
